policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_trail_list_with_selectors,AWS,POST,https://cloudtrail.{region}.amazonaws.com/,GetEventSelectors,EventSelectors,cloudtrail:GetEventSelectors
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,define_disable_read_logging_on_trail,AWS,POST,https://cloudtrail.{region}.amazonaws.com/,PutEventSelectors,{entire response},cloudtrail:PutEventSelectors
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrails Without Encrypted Logs,security/aws/log_ensure_cloudtrail_encrypted/log_ensure_cloudtrail_encrypted.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrails Without Log File Validation Enabled,security/aws/log_file_validation_enabled/log_file_validation_enabled.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
